Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status,Stonex_time_check
2023-04-26 17:01:26.073,2023-04-26 17:01:25.8,273,1,15+1+25.8
2023-04-26 17:01:26.237,2023-04-26 17:01:26.0,237,1,15+1+26.0
2023-04-26 17:01:26.343,2023-04-26 17:01:26.0,343,1,15+1+26.0
2023-04-26 17:01:26.343,2023-04-26 17:01:26.0,343,1,15+1+26.0
2023-04-26 17:01:26.507,2023-04-26 17:01:26.2,307,1,15+1+26.2
2023-04-26 17:01:26.639,2023-04-26 17:01:26.4,239,1,15+1+26.4
2023-04-26 17:01:26.938,2023-04-26 17:01:26.6,338,1,15+1+26.6
2023-04-26 17:01:27.146,2023-04-26 17:01:26.8,346,1,15+1+26.8
2023-04-26 17:01:27.306,2023-04-26 17:01:27.0,306,1,15+1+27.0
2023-04-26 17:01:27.385,2023-04-26 17:01:27.0,385,1,15+1+27.0
2023-04-26 17:01:27.385,2023-04-26 17:01:27.0,385,1,15+1+27.0
2023-04-26 17:01:27.475,2023-04-26 17:01:27.2,275,1,15+1+27.2
2023-04-26 17:01:27.71,2023-04-26 17:01:27.4,310,1,15+1+27.4
2023-04-26 17:01:27.877,2023-04-26 17:01:27.6,277,1,15+1+27.6
